No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu,MaScheme,
12,"b2,d4",7.071,21.2132,-114,0.0000049850,0.0003954579,0.0000049124,0.0004015003,0.0002952399,1.0000000000,1.0000000000,0.4961000000,0.4839000000,OMA,
13,"b3,a1",7.071,21.2132,-114,0.0000048794,0.0003989438,0.0000048888,0.0004030517,0.0002869839,1.0000000000,1.0000000000,0.5019000000,0.4817000000,OMA,
14,"b3,a2",7.071,15.8110,-114,0.0000158834,0.0003952371,0.0000158107,0.0004039752,0.0002973716,1.0000000000,1.0000000000,0.4934000000,0.4892000000,OMA,
15,"b3,a3",7.071,15.8110,-114,0.0000160727,0.0003999357,0.0000158743,0.0003955102,0.0002988842,1.0000000000,1.0000000000,0.4992000000,0.4891000000,OMA,
16,"b3,a4",7.071,21.2132,-114,0.0000049434,0.0004047482,0.0000049496,0.0004035167,0.0002916708,1.0000000000,1.0000000000,0.4948000000,0.4832000000,OMA,
17,"b3,b1",7.071,15.8110,-114,0.0000161960,0.0003929048,0.0000159749,0.0003966465,0.0002976384,1.0000000000,1.0000000000,0.4982000000,0.4966000000,OMA,
18,"b3,b4",7.071,15.8110,-114,0.0000161752,0.0004017592,0.0000159771,0.0003955077,0.0002993600,1.0000000000,1.0000000000,0.4982000000,0.4889000000,OMA,
19,"b3,c1",7.071,15.8110,-114,0.0000157643,0.0004000931,0.0000160552,0.0004058999,0.0003038247,1.0000000000,1.0000000000,0.5078000000,0.4888000000,OMA,
20,"b3,c4",7.071,15.8110,-114,0.0000159517,0.0003967378,0.0000160065,0.0004052044,0.0003016405,1.0000000000,1.0000000000,0.4988000000,0.4854000000,OMA,
21,"b3,d1",7.071,21.2132,-114,0.0000049193,0.0004040671,0.0000049691,0.0003962361,0.0002959090,1.0000000000,1.0000000000,0.5010000000,0.4791000000,OMA,
22,"b3,d2",7.071,15.8110,-114,0.0000162046,0.0003975683,0.0000160430,0.0003945610,0.0002980527,1.0000000000,1.0000000000,0.5024000000,0.4983000000,OMA,
23,"b3,d3",7.071,15.8110,-114,0.0000160806,0.0004019459,0.0000160417,0.0003977799,0.0003014179,1.0000000000,1.0000000000,0.4997000000,0.4922000000,OMA,
24,"b3,d4",7.071,21.2132,-114,0.0000049850,0.0003954579,0.0000049124,0.0004015003,0.0002952399,1.0000000000,1.0000000000,0.4961000000,0.4839000000,OMA,
25,"c2,a1",7.071,21.2132,-114,0.0000048794,0.0003989438,0.0000048888,0.0004030517,0.0002869839,1.0000000000,1.0000000000,0.5019000000,0.4817000000,OMA,
26,"c2,a2",7.071,15.8110,-114,0.0000158834,0.0003952371,0.0000158107,0.0004039752,0.0002973716,1.0000000000,1.0000000000,0.4934000000,0.4892000000,OMA,
27,"c2,a3",7.071,15.8110,-114,0.0000160727,0.0003999357,0.0000158743,0.0003955102,0.0002988842,1.0000000000,1.0000000000,0.4992000000,0.4891000000,OMA,
28,"c2,a4",7.071,21.2132,-114,0.0000049434,0.0004047482,0.0000049496,0.0004035167,0.0002916708,1.0000000000,1.0000000000,0.4948000000,0.4832000000,OMA,
29,"c2,b1",7.071,15.8110,-114,0.0000161960,0.0003929048,0.0000159749,0.0003966465,0.0002976384,1.0000000000,1.0000000000,0.4982000000,0.4966000000,OMA,
30,"c2,b4",7.071,15.8110,-114,0.0000161752,0.0004017592,0.0000159771,0.0003955077,0.0002993600,1.0000000000,1.0000000000,0.4982000000,0.4889000000,OMA,
31,"c2,c1",7.071,15.8110,-114,0.0000157643,0.0004000931,0.0000160552,0.0004058999,0.0003038247,1.0000000000,1.0000000000,0.5078000000,0.4888000000,OMA,
32,"c2,c4",7.071,15.8110,-114,0.0000159517,0.0003967378,0.0000160065,0.0004052044,0.0003016405,1.0000000000,1.0000000000,0.4988000000,0.4854000000,OMA,
33,"c2,d1",7.071,21.2132,-114,0.0000049193,0.0004040671,0.0000049691,0.0003962361,0.0002959090,1.0000000000,1.0000000000,0.5010000000,0.4791000000,OMA,
34,"c2,d2",7.071,15.8110,-114,0.0000162046,0.0003975683,0.0000160430,0.0003945610,0.0002980527,1.0000000000,1.0000000000,0.5024000000,0.4983000000,OMA,
35,"c2,d3",7.071,15.8110,-114,0.0000160806,0.0004019459,0.0000160417,0.0003977799,0.0003014179,1.0000000000,1.0000000000,0.4997000000,0.4922000000,OMA,
36,"c2,d4",7.071,21.2132,-114,0.0000049850,0.0003954579,0.0000049124,0.0004015003,0.0002952399,1.0000000000,1.0000000000,0.4961000000,0.4839000000,OMA,
37,"c3,a1",7.071,21.2132,-114,0.0000048794,0.0003989438,0.0000048888,0.0004030517,0.0002869839,1.0000000000,1.0000000000,0.5019000000,0.4817000000,OMA,
38,"c3,a2",7.071,15.8110,-114,0.0000158834,0.0003952371,0.0000158107,0.0004039752,0.0002973716,1.0000000000,1.0000000000,0.4934000000,0.4892000000,OMA,
